"Date","Type","Details","Amount (BDT)","Tag","Payment Method"
"2025-10-17","expense","T n C","200.00","c n t","cash"
"2025-10-16","expense","Gift and home snacks","1200.00","home snacks","cash"
"2025-10-15","expense","C n T Etc on Mirinja","2000.00","mirinja trip","cash"
"2025-10-15","expense","Cox Hotel and lunch","2400.00","mirinja trip","cash"
"2025-10-15","expense","some others","1000.00","mirinja trip","cash"
"2025-10-15","expense","Others dhaka","400.00","mirinja trip","cash"
"2025-10-14","expense","Mirinja Thaka khaowa","4300.00","mirinja trip","cash"
"2025-10-14","expense","Lunch dhaka","1140.00","mirinja trip","cash"
"2025-10-14","expense","Mirinja Flight","4733.00","mirinja trip","cash"
"2025-10-12","expense","Chokoria to mirinja and others","1000.00","mirinja trip","cash"
"2025-10-12","expense","Etc","35.00","mirinja trip","cash"
"2025-10-11","expense","Bus/ Riksha ETC to dhaka","1030.00","mirinja trip","cash"
"2025-10-11","expense","Family Bazer","2500.00","family bazer","cash"
"2025-10-11","expense","Dinner","1150.00","mirinja trip","cash"
"2025-10-11","expense","T n C","500.00","c n t","cash"
"2025-10-10","expense","t n c group bill","640.00","resturent","cash"
"2025-10-10","expense","phone load tanzima","100.00","phone bill","bcash"
"2025-10-09","expense","Router by","4000.00","gadget","cash"
"2025-10-08","expense","Loan (Saiful Vai Fish seller)","5000.00","loan","cash"
"2025-10-08","expense","t nc","120.00","c n t","cash"
"2025-10-07","expense","Coffee","850.00","coffee","cash"
"2025-10-07","expense","Coffe mate","820.00","coffee mate","cash"
"2025-10-07","expense","Home Snacks","220.00","home snacks","cash"
"2025-10-07","expense","Chini","240.00","family bazer","cash"
"2025-10-07","expense","Others (Not entry)","5000.00","others essential","cash"
"2025-10-07","expense","100","70.00","transport","cash"
"2025-10-07","expense","t N c","220.00","c n t","cash"
"2025-10-07","expense","Dim","220.00","dim","cash"
"2025-10-06","expense","Bike Paper","2300.00","bike","cash"
"2025-10-06","expense","Bike Oil","500.00","bike","cash"
"2025-10-05","expense","Tn c","1000.00","c n t","cash"
"2025-10-03","expense","smsbd","500.00","softwere","bcash"
"2025-10-02","expense","t nc","280.00","c n t","cash"
"2025-10-02","expense","Soft replit","2000.00","softwere","bcash"
"2025-10-01","expense","Regular monthly Bazer","1200.00","family bazer","cash"
"2025-10-01","expense","tnc","500.00","c n t","cash"
"2025-10-01","expense","Hash","750.00","family bazer","cash"
"2025-10-01","expense","Dim","330.00","family bazer","cash"
"2025-10-01","expense","Kacha bazer","270.00","family bazer","cash"
"2025-09-30","expense","home snacks","980.00","grocery","cash"
"2025-09-30","expense","Extra others","5000.00","others essential","cash"
"2025-09-30","expense","Badhal berano, Home food","2500.00","family and gift","cash"
"2025-09-30","expense","tnc","140.00","c n t","cash"
"2025-09-30","expense","Bagerhat to Badhal","260.00","transport","cash"
"2025-09-30","expense","riksha","50.00","transport","cash"
"2025-09-28","expense","Ai webapp maker","12276.00","softwere","creditcard"
"2025-09-27","expense","Tax","3500.00","family and gift","cash"
"2025-09-27","expense","t nc","200.00","c n t","cash"
"2025-09-26","expense","Family Bazer","5000.00","family bazer","cash"
"2025-09-26","expense","Bazer","6000.00","family bazer","cash"
"2025-09-26","expense","T n C","1000.00","c n t","cash"
"2025-09-25","expense","Med for tahin","40.00","medicine n dr","cash"
"2025-09-24","expense","grocery","740.00","grocery","cash"
"2025-09-24","expense","Vagitables","40.00","family bazer","cash"
"2025-09-24","expense","Loan","4000.00","loan","cash"
"2025-09-24","expense","Home food","300.00","home snacks","cash"
"2025-09-24","expense","t n C","400.00","c n t","cash"
"2025-09-23","expense","Tanzima home","1400.00","family and gift","cash"
"2025-09-23","expense","Transport ammu","200.00","transport","cash"
"2025-09-23","expense","Chiken fry home","1000.00","home snacks","cash"
"2025-09-22","expense","Replit","1860.00","softwere","creditcard"
"2025-09-22","expense","Bazer","4500.00","family bazer","bcash"
"2025-09-22","expense","T n C","150.00","c n t","cash"
"2025-09-22","expense","t n c","200.00","c n t","cash"
"2025-09-22","expense","Replit bill","4960.00","softwere","creditcard"
"2025-09-21","expense","T n C","110.00","c n t","cash"
"2025-09-21","expense","tnc","200.00","c n t","cash"
"2025-09-21","expense","Donation boro kaku","1600.00","donation","cash"
"2025-09-21","expense","t nc","30.00","c n t","cash"
"2025-09-21","expense","gash","1350.00","family issential","cash"
"2025-09-21","expense","Home snacks","590.00","home snacks","cash"
"2025-09-20","expense","t n c","30.00","c n t","cash"
"2025-09-20","expense","Selun","200.00","others essential","cash"
"2025-09-20","expense","Riksha","20.00","transport","cash"
"2025-09-19","expense","sobji","60.00","family bazer","cash"
"2025-09-19","expense","cig and tea","100.00","c n t","cash"
"2025-09-19","expense","sajib vai gift","297.00","giveway","bcash"
"2025-09-19","expense","gajor, sobji","170.00","family bazer","cash"
"2025-09-19","expense","T n C","350.00","c n t","cash"
"2025-09-19","expense","pepe","110.00","family bazer","cash"
"2025-09-19","expense","Riksha to doshani","30.00","transport","cash"
"2025-09-19","expense","Bazer","120.00","family bazer","cash"
